,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
0,2,76,4,3,2,3,1,2,1,2,1,1,5000.0
1,1,60,2,4,2,1,2,1,2,2,2,3,1500.0
2,2,73,5,2,2,3,2,2,1,2,1,1,2000.0
3,2,71,4,2,2,3,2,1,1,2,3,3,3400.0
4,1,77,5,1,1,3,1,2,1,2,1,1,1500.0
5,1,71,2,1,2,3,1,1,1,2,3,3,3833.333251953125
6,2,69,2,1,2,1,2,1,1,2,3,3,3833.333251953125
7,1,66,4,2,7,3,1,2,1,2,2,3,2500.0
8,2,85,4,3,7,3,2,1,1,2,4,3,2065.0
9,1,67,2,4,7,1,1,1,2,2,2,2,1000.0
10,2,66,4,1,7,1,1,1,2,2,3,3,5600.0
11,2,60,2,3,1,3,2,1,2,2,2,2,1000.0
12,2,80,4,1,7,3,2,1,1,2,2,3,3400.0
13,2,62,3,2,1,3,1,1,1,2,4,3,1975.0
14,1,79,2,5,3,3,1,2,1,2,2,2,2170.0
15,2,68,2,5,2,3,2,2,1,2,2,2,2170.0
16,1,69,2,2,7,3,2,2,1,2,3,3,166.6666717529297
17,2,60,2,2,7,3,2,2,1,2,3,3,166.6666717529297
18,2,77,4,2,7,3,2,1,1,2,5,3,1648.0
19,1,60,2,1,1,1,1,1,2,2,2,3,2850.0
20,1,65,2,2,2,3,2,1,1,2,3,3,1386.6666259765625
21,2,60,2,2,1,1,2,1,1,2,3,3,1386.6666259765625
22,2,68,4,2,1,3,1,2,1,2,1,1,2200.0
23,2,68,4,3,1,3,1,2,1,2,1,1,700.0
24,2,68,4,3,2,3,2,1,1,2,2,3,4850.0
25,2,67,2,1,1,3,1,2,1,2,2,2,1371.5
26,1,73,2,1,1,3,1,2,1,2,2,2,1371.5
27,1,60,2,4,3,1,1,1,1,2,3,3,3000.0
28,2,66,1,2,7,3,1,2,1,2,4,3,850.0
29,1,66,1,2,2,3,1,2,1,2,4,3,850.0
30,1,73,1,2,2,3,2,2,1,2,3,3,2000.0
31,2,64,1,1,7,3,1,1,1,2,3,3,2466.666748046875
